file,threshold,winner,plurality_match,IRV_match,top-two_match,borda-pm_match,borda-om_match,borda-avg_match,top-3-truncation_match,condorcet_match,minimax_match,smith_plurality_match,smith_irv_match,smith-minimax_match,ranked-pairs_match,bucklin_match,approval_match,smith_match
BallotPaperDetails-Brighton with candidates.csv,OM,James Newbury,match,match,match,match,match,match,match,match,match,match,match,match,match,match,no_match,match
BallotPaperDetails-Brighton with candidates.csv,PM,James Newbury,match,match,match,match,match,match,match,match,match,match,match,match,match,match,no_match,match
BallotPaperDetails-Brighton with candidates.csv,AVG,James Newbury,match,match,match,match,match,match,match,match,match,match,match,match,match,match,no_match,match
BallotPaperDetails-Northcote with candidates.csv,OM,Kat Theophanous,match,match,match,no_match,no_match,no_match,match,match,match,match,match,match,match,match,no_match,match
BallotPaperDetails-Northcote with candidates.csv,PM,Kat Theophanous,match,match,match,no_match,no_match,no_match,match,match,match,match,match,match,match,match,no_match,match
BallotPaperDetails-Northcote with candidates.csv,AVG,Kat Theophanous,match,match,match,no_match,no_match,no_match,match,match,match,match,match,match,match,match,no_match,match
BallotPaperDetails-Werribee with candidates.csv,OM,Tim Pallas,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner
BallotPaperDetails-Werribee with candidates.csv,PM,Tim Pallas,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner
BallotPaperDetails-Point Cook with candidates.csv,OM,Mathew Hilakari,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner
BallotPaperDetails-Point Cook with candidates.csv,PM,Mathew Hilakari,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner
BallotPaperDetails-Hawthorn with candidates.csv,OM,John Pesutto,match,match,match,match,match,match,match,match,match,match,match,match,match,match,no_match,match
BallotPaperDetails-Hawthorn with candidates.csv,PM,John Pesutto,match,match,match,match,match,match,match,match,match,match,match,match,match,match,no_match,match
BallotPaperDetails-Hawthorn with candidates.csv,AVG,John Pesutto,match,match,match,match,match,match,match,match,match,match,match,match,match,match,no_match,match
BallotPaperDetails-Preston with Candidates.csv,OM,Nathan Lambert,match,match,match,match,match,match,match,match,match,match,match,match,match,match,no_match,match
BallotPaperDetails-Preston with Candidates.csv,PM,Nathan Lambert,match,match,match,match,match,match,match,match,match,match,match,match,match,match,no_match,match
BallotPaperDetails-Preston with Candidates.csv,AVG,Nathan Lambert,match,match,match,match,match,match,match,match,match,match,match,match,match,match,no_match,match
BallotPaperDetails-Melton with candidates.csv,OM,Steve McGhie,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner
BallotPaperDetails-Melton with candidates.csv,PM,Steve McGhie,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner,no_winner
Ballina-mayoral-finalpreferencedatafile (1).csv,OM,CADWALLADER Sharon,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Ballina-mayoral-finalpreferencedatafile (1).csv,PM,CADWALLADER Sharon,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Ballina-mayoral-finalpreferencedatafile (1).csv,AVG,CADWALLADER Sharon,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
